Abbreviation,Position,Points,RaceName,RaceDate,Circuit
ANT,1.0,25.0,Japanese Grand Prix,2026-03-29,Suzuka
PIA,2.0,18.0,Japanese Grand Prix,2026-03-29,Suzuka
LEC,3.0,15.0,Japanese Grand Prix,2026-03-29,Suzuka
RUS,4.0,12.0,Japanese Grand Prix,2026-03-29,Suzuka
NOR,5.0,10.0,Japanese Grand Prix,2026-03-29,Suzuka
HAM,6.0,8.0,Japanese Grand Prix,2026-03-29,Suzuka
GAS,7.0,6.0,Japanese Grand Prix,2026-03-29,Suzuka
VER,8.0,4.0,Japanese Grand Prix,2026-03-29,Suzuka
LAW,9.0,2.0,Japanese Grand Prix,2026-03-29,Suzuka
OCO,10.0,1.0,Japanese Grand Prix,2026-03-29,Suzuka
